,Gas (kWh),Electricity (kWh)
August 2019,456.84,311
September 2019,607.94,293.6
October 2019,1405.11,361.8
November 2019,2072.66,405
December 2019,2550.15,380
January 2020,2510.74,392.4
February 2020,2478.99,328.9
March 2020,1934.48,334.9
April 2020,1364.91,365.6
May 2020,991.51,369.1
June 2020,761.42,349.5
July 2020,647.97,354.7
August 2020,571.09,314.8
September 2020,702.11,305.3
October 2020,1121.69,345.9
November 2020,1464.99,393.2
December 2020,2262.99,414.6
January 2021,2699.53,484.5
February 2021,2124.41,401.4
March 2021,2039.97,422.8
April 2021,1560.63,353.9
May 2021,1103.45,333.9
June 2021,571,316
July 2021,432.43,266.1
August 2021,219.79,270.3
September 2021,290.31,335
October 2021,585.29,348
November 2021,1342.96,380.2
December 2021,1803.21,408.4
January 2022,1794.91,401
February 2022,1479.05,346.1
March 2022,1108.1,363
April 2022,412.96,202.2
May 2022,322.92,326.4
June 2022,260.65,316.6
July 2022,199.4,290.8
August 2022,232.9,256.5
September 2022,297.76,303.3
October 2022,283.22,308.1
November 2022,934.71,305.1
December 2022,1954.03,322
January 2023,1716.18,326.3
February 2023,1291.29,313.3
March 2023,1345.67,313.6
April 2023,881.8,284.8
May 2023,411.8,257.2
June 2023,190.39,264.9
July 2023,193.3,242.5
August 2023,136.79,207.8
September 2023,173.67,262.8
October 2023,453.47,291.8
November 2023,1018.72,355.1
December 2023,1137.74,375.6
January 2024,1173.96,466.8
February 2024,859.9,272.8
March 2024,679.71,381.5
