,Volume (l),Cost,Milage,l / day,kg co2 / day,kg co2 / year,miles / day,miles / year,miles / gallon,l / day avg,,kg co2 / day avg,kg co2 / year avg
2022-04-26,30.5,£49.68,,,,,,,,,,,
2022-05-13,42.58,£71.07,,2.504705882,5.76959,2107.342748,,,,,,,
2022-05-21,24.92,£41.84,175.6,3.115,7.1754025,2620.815763,21.95,8017.2375,32.03424575,,,,
2022-05-30,37.23,£62.88,219.4,4.136666667,9.528811667,3480.398461,24.37777778,8903.983333,26.79054918,,,,
2022-06-02,27.59,£54.60,227.9,9.196666667,21.18452167,7737.646539,75.96666667,27746.825,37.5517909,4.487,1637.755,10.3358045,3775.152594
2022-06-10,25.4,£45.95,164.5,3.175,7.3136125,2671.296966,20.5625,7510.453125,29.44219705,4.112142857,1500.932143,9.472321071,3459.765271
2022-06-25,43.14,£83.65,223.7,2.876,6.624866,2419.732307,14.91333333,5447.095,23.57348941,3.680930233,1343.539535,8.479022791,3096.963074
2022-07-03,25.71,£49.34,176.8,3.21375,7.402873125,2703.899409,22.1,8072.025,31.26210471,3.607647059,1316.791176,8.310215,3035.306029
2022-07-23,26.15,£49.40,128.9,1.3075,3.01182625,1100.069538,6.445,2354.03625,22.40883369,2.95971831,1080.297183,6.817711127,2490.168989
2022-08-13,42.8,£74.43,282.2,2.038095238,4.694752381,1714.758307,13.43809524,4908.264286,29.97445322,2.749347826,1003.511957,6.333122717,2313.173073
2022-08-31,31.3,£52.55,185,1.738888889,4.005530556,1463.020035,10.27777778,3753.958333,26.86986102,2.584,943.16,5.952244,2174.057121
2022-09-10,29.84,£49.50,208.2,2.984,6.873644,2510.598471,20.82,7604.505,31.71903277,2.617333333,955.3266667,6.029027333,2202.102234
2022-09-25,35.51,£58.56,188.9,2.367333333,5.453152333,1991.76389,12.59333333,4599.715,24.1835089,2.589555556,945.1877778,5.965041222,2178.731306
2022-10-14,45.93,£75.28,267.2,2.417368421,5.568408158,2033.86108,14.06315789,5136.568421,26.4470988,2.568311688,937.4337662,5.916105974,2160.857707
2022-10-22,35.05,£57.45,264.1,4.38125,10.09220938,3686.179474,33.0125,12057.81563,34.25456117,2.657839506,970.1114198,6.122333302,2236.182239
2022-10-31,37.34,£62.32,260,4.148888889,9.556965556,3490.681669,28.88888889,10551.66667,31.65461703,2.736315789,998.7552632,6.303103421,2302.208525
2022-11-12,40.76,£68.03,238.9,3.396666667,7.824221667,2857.796964,19.90833333,7271.51875,26.64526254,2.779617486,1014.560383,6.40284888,2338.640553
2022-11-26,44.43,£73.27,216.6,3.173571429,7.310321786,2670.095032,15.47142857,5650.939286,22.16257245,2.807614213,1024.779188,6.46733934,2362.195694
2022-12-10,41,£54.33,222.9,2.928571429,6.745964286,2463.963455,15.92142857,5815.301786,24.71520637,2.81563981,1027.708531,6.485826303,2368.948057
2022-12-22,48.89,£75.24,271,4.074166667,9.384842917,3427.813875,22.58333333,8248.5625,25.19923072,2.883363229,1052.427578,6.641827197,2425.927384
2023-01-09,43.38,£65.46,270,2.41,5.551435,2027.661634,15,5478.75,28.29516598,2.848008299,1039.523029,6.560387116,2396.181394
2023-01-20,40.21,£60.68,210.1,3.655454545,8.420339545,3075.529019,19.1,6976.275,23.75363116,2.883253968,1052.387698,6.641575516,2425.835457
2023-02-03,35.68,£53.84,186.6,2.548571429,5.870634286,2144.249173,13.32857143,4868.260714,23.77523526,2.865639098,1045.958271,6.600999662,2411.015126
2023-02-17,35.62,£53.75,223.9,2.544285714,5.860762143,2140.643373,15.99285714,5841.391071,28.57578751,2.849571429,1040.093571,6.563987786,2397.496539
2023-03-03,36.97,£55.79,184.6,2.640714286,6.082885357,2221.773877,13.18571429,4816.082143,22.69970825,2.83962585,1036.463435,6.541078146,2389.128793
2023-03-18,48.38,£71.55,256,3.225333333,7.429555333,2713.645086,17.06666667,6233.6,24.05537495,2.858349515,1043.297573,6.584208107,2404.882011
2023-04-02,45.4,£66.69,288.2,,,,,,,,,,
2023-04-13,40.54,£59.55,258.8,,,,,,,,,,
2023-04-28,39.72,£58.35,236.7,,,,,,,,,,
2023-05-14,39.83,£58.51,241.1,,,,,,,,,,
2023-05-26,36.98,£53.95,218.4,,,,,,,,,,
2023-06-18,46.85,£68.35,280.2,,,,,,,,,,
2023-07-01,37.98,55.41,205.5,,,,,,,,,,
2023-07-13,32.53,47.45,203.3,,,,,,,,,,
2023-07-22,28.41,42.05,195.7,,,,,,,,,,
2023-07-26,25.63,36.88,173.2,,,,,,,,,,
2023-08-02,44.89,65.05,340.3,,,,,,,,,,
2023-08-14,34.52,50.02,206.7,,,,,,,,,,
2023-09-08,48.81,72.98,281.2,,,,,,,,,,
2023-09-23,36.81,57.39,216.2,,,,,,,,,,
2023-09-30,19.45,30.91,127.8,,,,,,,,,,
2023-10-13,44.57,70.38,240.9,,,,,,,,,,
2023-10-22,33.13,51.65,219.1,,,,,,,,,,
2023-11-03,41.93,63.69,226.8,,,,,,,,,,
2023-11-17,37.68,56.11,194.4,,,,,,,,,,
2023-12-07,42.49,61.57,227.3,,,,,,,,,,
2023-12-28,43.89,62.28,255.7,,,,,,,,,,
2024-01-21,38.97,55.3,226.8,,,,,,,,,,
2024-02-10,44.19,64.47,257.9,,,,,,,,,,
2024-03-17,32.95,47.09,173.5,,,,,,,,,,
2024-04-08,40.26,59.14,267.7,,,,,,,,,,
